metr,metr+x,x_only
178.7398336297865,175.62458540133727,199.68936113898815
220.70624064873215,220.06803958953273,199.86556475793645
193.7109929657761,191.77489451556602,201.1754809650245
192.28023414756757,191.86530755518268,198.8195239456402
202.52342776712678,200.39912667710948,200.06144638802812
192.40963656228635,190.6769613259169,201.63415137253597
198.62765552093543,197.26049376965352,200.6943334241219
197.6939321182786,201.73087800686864,198.6155336863177
196.1440535649141,188.70156560882273,198.33229181848117
178.11331489106502,177.15287939582237,201.520576766178
204.25048938735782,201.41510954190056,201.69349025029345
207.51101797905375,204.34340933543507,197.71031968787514
217.81270448493663,218.22371213760272,201.33718632591163
112.46044231879766,114.84774656624103,198.78564251180197
196.4890047624466,194.8870030608789,199.3311588962153
193.54787172758222,194.5668804910261,198.535151897752
222.96761209613658,222.98408390720112,198.92550950580934
198.05291511255143,197.84491548372435,201.68632816600243
194.26215281779903,193.15721967389135,200.6607384663393
208.80116044160502,205.09711840671648,201.53680942415048
217.28207272874937,219.83635277301187,200.94766694612778
203.52760000362701,198.16555029783075,199.7066332858758
208.43964374372572,206.966974364324,198.39207419567146
222.3654360208016,226.95884491213621,200.21415740999385
210.65692777315394,208.6136168044434,198.08523605724005
199.34279708381112,194.94023710013275,200.84796501794457
214.70228801528103,210.1301859911423,201.0370057859072
205.78875141347177,203.82204341610304,200.28957705202873
203.73274089642618,203.53319675431234,199.3604795322475
204.15348741286215,201.73343182486957,200.04817138042205
198.16157086274782,198.60365545328386,199.97339631977007
196.56060640199897,197.1947002333131,199.84750775807882
191.20361117793666,190.63920018886188,199.40489715495193
167.29220897238707,162.9145467645166,200.52007827954168
249.42863066517234,246.46043243954836,200.83360884042983
190.92247522443984,189.7620004049307,198.8826443996012
196.93020960351214,193.26036128565735,199.46539084195155
186.9461442596436,184.12112923868096,202.21283500007564
199.65270551031367,198.84290266748872,199.78705348067336
191.67437549281118,190.88332199152296,200.95696202833076
95.27162036608331,90.60103136803166,198.4024261348409
199.50055556680908,198.99807192875312,198.67956546008682
199.51137281495545,199.5883609664048,198.8448486742569
207.34828414869585,207.8458732113707,199.1303558827985
185.2125874622588,185.4981481066382,200.38071656285135
195.6873933810796,195.55724353326053,199.56765115106094
210.23527177944996,211.65166571253636,200.96178727008342
215.92525616318096,213.19808513448785,199.31137980096284
188.73713774300225,186.36012878430424,199.06889057408713
190.78280908004916,187.43545676024405,199.2953206255426
203.30723003030678,201.1820337219594,199.17926791966576
190.7637524186951,189.19105949607527,199.9121160905372
201.57878573411244,199.56322508207546,200.13178144306414
202.88098792537957,202.36457971410317,200.0335993220784
196.67898776533315,189.7441565667243,200.2356840209398
204.76332137653074,203.77226141159295,201.2347156376237
214.07030516054317,212.93496942838803,201.94348650516673
209.285859093748,213.0063654424818,201.35979702344397
180.35602749324073,178.6303056341758,197.8531376673519
204.51180995590917,203.82875242600883,201.3809286278175
200.93148790131997,197.40730366855277,200.07118157678002
172.2325207801643,171.42380776728453,197.1042271686831
204.29039004921913,201.82914936935185,199.27712405881223
190.5560652319423,188.87241247271655,199.65204901869862
173.20944217800002,169.70283815230667,199.92752753086137
216.43649952947806,218.52200497461925,199.14388293933882
190.77547556816515,192.35462986714992,200.8984585761921
181.8838963645668,178.2391328970564,201.7412516977917
209.0545441107451,209.65431304533533,199.33669822329276
193.10356658558206,193.3497516095024,199.254184181456
171.44842748215152,170.18480989580925,200.4688974234582
