Claude 3 Opus,Claude 3.5 Sonnet (New),Claude 3.5 Sonnet (Old),Claude 3.7 Sonnet,Claude 4 Opus,Claude 4 Sonnet,Claude 4.1 Opus,Claude Opus 4.5,Claude Sonnet 4.5,DeepSeek-R1,DeepSeek-R1-0528,DeepSeek-V3,DeepSeek-V3-0324,GPT-2,GPT-4 0125,GPT-4 0314,GPT-4 1106,GPT-4 Turbo,GPT-4o,GPT-5,GPT-5.1-Codex-Max,Gemini 2.5 Pro Preview,Grok 4,Kimi K2 Thinking,Qwen2-72B,Qwen2.5-72B,davinci-002 (GPT-3),gpt-3.5-turbo-instruct,gpt-oss-120b,human,o1,o1-preview,o3,o4-mini
8.445964894,44.1149593,19.64283854,63.54068728,109.6901108,83.99194451,151.5325967,394.5230732,118.5909813,33.03199275,46.925834,26.21930608,28.5800266,0.02014674965,4.404403028,8.408431069,9.511840028,7.631247035,10.30842282,180.7192484,402.93527,52.15986038,159.1592736,69.01135882,2.173534714,5.365732931,0.1206274897,0.4593590679,57.29278933,175.7266888,64.06947829,25.51574646,150.5662431,107.173402
5.019650778,18.4492241,11.5999752,33.59693357,44.55624785,37.78769955,56.09829944,79.47415909,47.48289287,19.38549025,22.8488803,16.49562705,19.2931872,0.05928400138,4.213590472,3.563498126,6.04846194,5.016592701,7.893705824,74.48338589,90.09778176,27.93153351,48.21608277,36.25411612,2.105387547,2.608557266,0.1037090546,0.6495684973,27.994082,52.1259831,31.24963862,18.07630394,51.82880971,43.51851346
6.586173407,35.29553214,26.07938922,86.03927215,97.95848324,96.59448629,118.5889579,346.6723977,125.4960991,42.22449929,52.43423816,15.67793379,21.60426799,0.04852436736,7.843749799,6.687492744,14.40497361,7.316380986,9.705396263,187.1843056,308.4609248,58.63565339,147.3640816,70.79152331,2.864008975,4.386816948,0.172609077,0.6945884398,54.03368783,161.6199715,77.24624555,30.6610107,132.1734396,115.4770275
3.844499419,25.98823374,15.59660683,70.5983987,95.67536039,92.70334496,124.1517167,187.7205651,95.86810528,21.69541081,47.99947346,16.68106373,25.49657183,0.04741420396,3.766187103,4.916176151,8.193462347,3.374665803,6.772241656,184.4775865,204.6255541,51.78383742,115.3812893,72.26848945,1.521882975,3.291655061,0.1268536068,0.4164646352,54.98797251,179.9504795,71.41977041,27.05641355,127.7967059,101.7858647
3.13293179,22.13103618,9.225102042,42.31269426,69.16181625,56.83752198,95.0995043,212.005881,86.10681751,15.38282511,17.3040063,11.65356163,13.84498881,0.03282265785,3.564374093,3.873400673,4.925506128,4.094431221,5.052544216,94.33777682,125.1272738,28.66620916,70.64934069,37.28321414,1.333327319,3.481818974,0.145792241,0.4931728362,35.19153924,95.21950795,37.94368077,15.83565712,75.91327952,56.2701633
9.365647087,38.48024121,26.32093564,81.36781389,92.08085407,89.71372955,140.2879417,482.408353,183.6969425,42.16595175,45.81379206,26.33854125,32.38117207,0.043931587,6.539463407,8.557354475,13.29461789,9.515104182,9.3844763,186.3971238,232.944569,64.58090875,187.0573509,82.73279064,3.66143422,6.402938096,0.1904486228,0.7568522596,57.26395914,177.5008787,61.63981098,47.68718755,133.1444319,116.1349678
10.75723238,41.01290117,25.60127755,86.4111696,126.6909514,118.1170437,160.1837682,249.1749925,204.5614882,39.24349219,46.41706008,22.94666801,37.69890858,0.08844631775,8.971510713,8.200934001,11.54066921,9.169527392,20.44465732,186.571957,246.0293982,57.62018848,166.923874,97.9624961,1.90281274,5.947017667,0.1342026774,0.6155552407,76.52315184,93.58479702,75.02833944,34.19348951,117.2433651,108.6728171
3.717973303,31.79021513,12.71536488,74.45883753,103.2297204,103.1351056,148.7242498,293.209705,161.089773,20.23501734,30.43045994,14.12510823,20.80886505,0.1241953475,2.899428179,2.920497549,6.509703213,5.903983585,10.15108413,147.4240951,178.8535837,37.65348302,152.9322646,65.57389108,1.354175786,4.843494436,0.144993894,0.2988695139,36.40802759,120.1967162,53.07631863,23.84722718,81.5249911,61.28151997
6.657120959,33.20356897,13.04698192,69.56543511,80.18577675,75.58153429,98.21951559,263.9592886,98.4547806,37.96639189,51.1163553,25.2742946,34.24936745,0.02126012231,3.140123859,3.964111692,8.31758634,6.755166816,10.19073242,119.4757861,166.5107297,60.71770583,106.3069394,71.06064534,1.893769455,5.882505205,0.1911862651,0.5119869754,61.31327807,149.2660257,49.60525339,26.53638827,124.1599146,88.7273304
9.503204228,64.75779603,39.83209703,86.36839739,135.0468319,133.5993401,186.3138968,315.0837951,169.5013881,53.40306506,72.21037875,34.5012237,46.29408902,0.02268503123,8.225326143,6.557795562,14.23588099,11.75009616,15.4455258,196.3469049,246.1074141,84.20741537,165.4124847,106.1862295,3.723426996,7.401771712,0.126885503,0.6351663456,95.41438583,142.6555158,91.41759474,33.81249311,164.4564696,137.6073226
